region,undergraduate_national_rank,undergraduate_national_difficulty,vocational_national_rank,vocational_national_difficulty,undergraduate_provincial_rank,undergraduate_provincial_difficulty,vocational_provincial_rank,vocational_provincial_difficulty
广东,1,92.34743752,3,53.44275827,21,24.56626865,21,18.92094417
上海,2,84.05855219,21,9.220980299,7,53.37986627,18,39.56538029
陕西,3,83.56940694,1,99.67030998,12,40.1927793,20,31.06032222
重庆,4,72.00628279,2,75.35301664,6,55.17955116,3,82.42787561
北京,5,69.94609968,11,29.03602552,1,91.88085425,2,85.23791682
江苏,6,64.40999125,13,27.81685138,2,62.37929995,7,70.25103035
四川,7,59.68743157,16,20.62300253,8,44.25666825,15,49.04458599
天津,8,59.08123442,10,30.89791076,4,58.52939145,4,77.59460472
山东,9,58.63547602,8,34.79940164,25,12.38560893,27,0
河南,10,58.16433215,4,42.29286963,31,0.009663414,30,0
黑龙江,11,55.03156049,26,5.86292272,23,14.48256986,26,0
湖北,12,52.70893531,15,20.83252733,18,29.61598856,22,18.5088048
山西,13,48.21056934,12,28.65656411,16,31.1743394,10,55.86361933
广西,14,46.76493023,7,35.97009979,20,25.95655461,17,46.60921694
河北,15,46.03228744,18,19.53560747,10,42.32671413,5,76.95766205
云南,16,45.60106648,17,20.02229342,28,6.434719367,24,10.82802548
辽宁,17,44.85189199,24,7.173182019,9,43.07115424,12,51.47995504
吉林,18,44.35453411,23,7.713896927,26,11.81904347,29,0
福建,19,42.77663798,20,9.627199429,11,40.45672376,9,57.73698014
湖南,20,41.36942695,14,24.19805264,5,57.84319486,6,73.58561259
安徽,21,39.86071488,22,8.833152802,27,11.06413754,28,0
甘肃,22,38.51978163,9,33.80808241,14,35.74011899,11,54.21506182
浙江,23,37.68592041,6,37.38132807,24,13.63966515,23,16.82278007
贵州,24,23.35120302,19,11.99739528,30,0.580408828,31,0
新疆,25,22.18186014,27,5.656722857,3,61.12922673,1,100
江西,26,21.54363972,5,39.61552648,22,21.29332361,19,38.40389659
海南,27,9.183050353,28,4.224818356,17,30.83712965,14,50.9179468
内蒙古,28,6.895072872,25,7.08408798,19,29.42981078,13,51.33008617
青海,29,3.013273315,29,3.572753418,29,5.691751085,25,0
宁夏,30,2.523716395,31,0.147301116,13,39.97944443,8,66.91644811
西藏,31,1.930535456,30,1.251160324,15,32.89410149,16,47.17122518
