region,total_teams,national_nominations,provincial_first_rate,provincial_second_rate,provincial_third_rate,total_award_rate,undergraduate_school_count,vocational_school_count,participating_school_count,undergraduate_team_count,vocational_team_count,project_985_count,project_211_count,undergraduate_strong_school_count,vocational_strong_school_count
北京,3454,211,0.1075,0.165,0.0,0.2725,69,23,66,3374,80,8,26,8,1
天津,1566,131,0.1043,0.1886,0.0,0.2929,31,25,40,1390,176,2,3,4,1
河北,1851,164,0.096,0.1987,0.0,0.2946,63,68,69,1666,185,0,1,6,1
山西,2496,163,0.0597,0.1041,0.1871,0.3509,36,46,58,2106,390,0,1,3,1
内蒙古,582,67,0.0906,0.1264,0.1618,0.363,21,33,29,476,106,0,1,0,0
辽宁,2786,177,0.1009,0.1104,0.1513,0.3626,64,50,60,2729,57,2,4,4,0
吉林,1697,123,0.1857,0.3696,0.1118,0.6671,40,28,41,1636,61,1,3,3,0
黑龙江,2108,143,0.1433,0.24,0.1316,0.5149,40,40,39,2079,29,1,4,4,0
上海,2925,184,0.0373,0.1518,0.2054,0.3944,40,29,50,2840,85,4,10,7,0
江苏,4312,254,0.0903,0.0881,0.1342,0.3125,82,93,119,4017,295,2,11,9,2
浙江,1813,129,0.0838,0.1421,0.2292,0.4551,65,46,86,1477,336,1,1,4,2
安徽,1928,134,0.0943,0.1885,0.2828,0.5656,50,76,78,1769,159,1,3,3,0
福建,2807,142,0.1007,0.1414,0.1887,0.3459,41,49,56,1973,114,1,2,2,0
江西,1742,125,0.1301,0.121,0.1957,0.3975,49,68,73,1318,424,0,1,1,3
山东,4328,254,0.1439,0.1996,0.1938,0.5194,72,95,122,3926,402,2,3,7,3
河南,3518,220,0.2087,0.2401,0.2648,0.7136,62,116,103,3005,513,0,1,7,5
湖北,2833,180,0.1005,0.1496,0.2006,0.4506,70,64,89,2667,166,2,7,6,1
湖南,1823,192,0.0772,0.1038,0.1227,0.3036,54,93,73,1620,203,3,4,4,2
广东,6886,382,0.0808,0.1489,0.2249,0.4495,77,89,115,6284,602,2,4,15,6
广西,1611,119,0.0772,0.1046,0.1938,0.3756,41,48,53,1297,314,0,1,4,2
海南,473,62,0.0554,0.1059,0.2032,0.3641,11,17,16,436,37,0,1,0,0
重庆,2039,140,0.1303,0.1497,0.0,0.28,29,46,60,1500,539,1,2,5,6
四川,2885,182,0.147,0.1309,0.1405,0.3691,55,86,85,2621,264,2,5,6,1
贵州,1177,97,0.2209,0.41,0.2061,0.8569,32,48,46,902,275,0,1,1,0
云南,733,125,0.1242,0.1303,0.2168,0.4711,35,57,37,1619,114,0,1,3,1
西藏,44,40,0.1739,0.5522,0.0,0.3741,5,3,3,1938,6,0,1,0,0
陕西,5390,308,0.2239,0.2579,0.0,0.4171,61,37,85,4740,650,3,8,10,7
甘肃,1198,98,0.0792,0.1144,0.1617,0.3553,28,21,31,1034,164,1,1,2,1
青海,110,44,0.15,0.35,0.0,0.5,6,7,5,88,22,0,1,0,0
宁夏,164,62,0.0849,0.0965,0.1506,0.3214,10,12,10,157,7,0,1,0,0
新疆,639,70,0.0609,0.0579,0.1302,0.2331,26,41,25,567,72,0,2,1,0
