school_name,region,first_2021,second_2021,national_2021,first_2022,second_2022,national_2022,first_2023,second_2023,national_2023,first_2024,second_2024,national_2024,first_2025,second_2025,national_2025,first_five_years,second_five_years,national_five_years,national_forecast_2026,top_advisor,top_advisor_count,school_group,recent_two_year_average,is_modeling_strong_school,top_advisor_frequency,top_advisor_frequency_over_30pct
南京邮电大学,江苏,2,9,11,3,9,12,4,7,11,6,6,12,4,6,10,19,37,56,11,闫庆伦,14,本科,11.0,是,0.25,否
上海交通大学,上海,5,7,12,4,6,10,4,7,11,5,7,12,4,5,9,22,32,54,11,高晓沨,36,本科,10.5,是,0.6666666666666666,是
厦门大学,福建,4,8,12,5,6,11,3,7,10,2,8,10,2,8,10,16,37,53,10,谭忠,43,本科,10.0,是,0.8113207547169812,是
哈尔滨工业大学(深圳),广东,1,8,9,4,7,11,6,5,11,5,7,12,4,5,9,20,32,52,11,陈勇勇,12,本科,10.5,是,0.23076923076923078,否
西南交通大学,四川,3,3,6,3,9,12,3,9,12,6,5,11,5,6,11,20,32,52,11,王璐,12,本科,11.0,是,0.23076923076923078,否
西安电子科技大学,陕西,3,7,10,4,4,8,5,7,12,3,7,10,2,10,12,17,35,52,11,张胜利,6,本科,11.0,是,0.11538461538461539,否
中山大学,广东,6,5,11,4,7,11,4,6,10,2,10,12,1,7,8,17,35,52,10,关彦辉,13,本科,10.0,是,0.25,否
华南理工大学,广东,3,7,10,2,10,12,3,9,12,2,7,9,2,7,9,12,40,52,10,刘深泉,13,本科,9.0,是,0.25,否
同济大学,上海,3,6,9,3,8,11,4,6,10,2,10,12,3,6,9,15,36,51,10,段春艳,4,本科,10.5,是,0.0784313725490196,否
西安交通大学,陕西,2,6,8,5,5,10,1,8,9,4,7,11,2,9,11,14,35,49,10,陈磊,10,本科,11.0,是,0.20408163265306123,否
东北大学,辽宁,0,10,10,0,9,9,1,9,10,2,7,9,2,8,10,5,43,48,10,郎俊,4,本科,9.5,是,0.08333333333333333,否
北京航空航天大学,北京,2,7,9,3,7,10,2,5,7,5,7,12,4,6,10,16,32,48,10,郭炳晖,17,本科,11.0,是,0.3541666666666667,是
复旦大学,上海,4,5,9,4,4,8,2,10,12,4,7,11,2,6,8,16,32,48,10,俞熹,2,本科,9.5,是,0.041666666666666664,否
武汉大学,湖北,5,4,9,2,7,9,4,5,9,3,5,8,5,7,12,19,28,47,11,胡元明,9,本科,10.0,是,0.19148936170212766,否
重庆邮电大学,重庆,2,9,11,2,5,7,2,8,10,2,6,8,2,9,11,10,37,47,11,李振坤,6,本科,9.5,是,0.1276595744680851,否
广东工业大学,广东,2,6,8,1,7,8,0,11,11,4,6,10,2,8,10,9,38,47,10,徐圣兵,7,本科,10.0,是,0.14893617021276595,否
山东大学,山东,2,4,6,3,7,10,2,8,10,2,8,10,2,8,10,11,35,46,11,栾峻峰,23,本科,10.0,是,0.5,是
郑州大学,河南,1,10,11,1,5,6,3,7,10,1,10,11,2,6,8,8,38,46,8,李普林,7,本科,9.5,是,0.15217391304347827,否
哈尔滨工业大学,黑龙江,1,9,10,1,10,11,1,8,9,3,6,9,3,4,7,9,37,46,7,吴勃英,9,本科,8.0,是,0.1956521739130435,否
北京理工大学,北京,0,8,8,3,6,9,3,5,8,3,7,10,2,8,10,11,34,45,9,王宏洲,12,本科,10.0,是,0.26666666666666666,否
西南财经大学,四川,1,6,7,2,7,9,1,10,11,2,7,9,1,8,9,7,38,45,9,孙云龙,7,本科,9.0,是,0.15555555555555556,否
太原理工大学,山西,2,9,11,0,7,7,3,6,9,1,10,11,1,6,7,7,38,45,7,岳俊宏,4,本科,9.0,是,0.08888888888888889,否
安徽大学,安徽,1,7,8,4,5,9,1,10,11,2,5,7,3,6,9,11,33,44,9,朱家明,6,本科,8.0,是,0.13636363636363635,否
中国人民大学,北京,1,8,9,3,9,12,2,6,8,3,6,9,1,5,6,10,34,44,8,魏二玲,7,本科,7.5,是,0.1590909090909091,否
合肥工业大学,安徽,3,6,9,2,8,10,2,9,11,1,8,9,2,3,5,10,34,44,8,焦贤发,7,本科,7.0,是,0.1590909090909091,否
安阳师范学院,河南,1,7,8,1,9,10,2,8,10,1,7,8,3,5,8,8,36,44,8,胡猛,11,本科,8.0,是,0.25,否
杭州电子科技大学,浙江,5,6,11,3,5,8,3,4,7,3,7,10,2,6,8,16,28,44,8,92,0,本科,9.0,是,0.0,否
武汉理工大学,湖北,2,2,4,2,6,8,3,7,10,3,7,10,6,5,11,16,27,43,12,刘扬,5,本科,10.5,是,0.11627906976744186,否
江苏科技大学,江苏,1,5,6,1,5,6,2,10,12,2,8,10,3,6,9,9,34,43,10,伊士超、徐祖润,8,本科,9.5,是,0.18604651162790697,否
华中科技大学,湖北,2,3,5,3,2,5,5,4,9,3,8,11,2,10,12,15,27,42,12,董锐,8,本科,11.5,是,0.19047619047619047,否
湘潭大学,湖南,0,5,5,0,4,4,5,5,10,2,9,11,2,10,12,9,33,42,11,文志武、李成福,5,本科,11.5,是,0.11904761904761904,否
云南大学,云南,1,8,9,1,7,8,0,9,9,1,6,7,0,9,9,3,39,42,9,朱娟萍、胡光华,4,本科,8.0,是,0.09523809523809523,否
华东师范大学,上海,4,5,9,3,4,7,4,5,9,1,6,7,2,8,10,14,28,42,9,张向韵,3,本科,8.5,是,0.07142857142857142,否
南京信息工程大学,江苏,3,9,12,2,3,5,2,9,11,1,7,8,3,3,6,11,31,42,8,刘文军,6,本科,7.0,是,0.14285714285714285,否
广东东软学院,广东,4,5,9,1,9,10,2,7,9,3,8,11,0,3,3,10,32,42,8,曹华林,37,本科,7.0,是,0.8809523809523809,是
桂林电子科技大学,广西,3,4,7,2,4,6,1,7,8,0,8,8,2,9,11,8,32,40,11,吴孙勇,6,本科,9.5,是,0.15,否
山东大学(威海),山东,1,9,10,4,6,10,5,4,9,3,4,7,1,3,4,14,26,40,7,曹祝楼,16,本科,5.5,是,0.4,是
四川师范大学,四川,6,5,11,2,7,9,1,7,8,2,5,7,2,3,5,13,27,40,5,吕王勇,11,本科,6.0,是,0.275,否
青岛理工大学,山东,1,6,7,0,3,3,1,8,9,2,6,8,2,10,12,6,33,39,10,张蕾,5,本科,10.0,是,0.1282051282051282,否
中国海洋大学,山东,1,1,2,3,7,10,1,7,8,2,6,8,4,7,11,11,28,39,9,陈丕炜,13,本科,9.5,是,0.3333333333333333,是
大连理工大学,辽宁,1,7,8,0,7,7,0,5,5,0,10,10,2,7,9,3,36,39,9,92,0,本科,9.5,是,0.0,否
新疆大学,新疆,0,4,4,1,10,11,1,8,9,1,9,10,2,3,5,5,34,39,5,赵建平,7,本科,7.5,是,0.1794871794871795,否
电子科技大学,四川,4,7,11,3,6,9,3,5,8,2,4,6,2,3,5,14,25,39,5,李明奇,8,本科,5.5,是,0.20512820512820512,否
重庆大学,重庆,2,5,7,0,5,5,2,4,6,2,9,11,2,7,9,8,30,38,9,龚劬,6,本科,10.0,是,0.15789473684210525,否
天津工业大学,天津,3,4,7,1,7,8,2,6,8,2,5,7,1,7,8,9,29,38,8,汪晓银,12,本科,7.5,是,0.3157894736842105,是
东北林业大学,黑龙江,1,6,7,1,8,9,1,8,9,1,7,8,0,5,5,4,34,38,6,孙宏霞,6,本科,6.5,是,0.15789473684210525,否
福州大学,福建,2,6,8,1,7,8,1,8,9,2,5,7,0,6,6,6,32,38,6,周勇,11,本科,6.5,是,0.2894736842105263,否
西安建筑科技大学,陕西,3,8,11,5,4,9,3,5,8,1,5,6,2,2,4,14,24,38,6,刘勇,7,本科,5.0,是,0.18421052631578946,否
青岛科技大学,山东,3,7,10,4,7,11,2,4,6,0,6,6,1,4,5,10,28,38,6,朱善良,7,本科,5.5,是,0.18421052631578946,否
深圳大学,广东,0,2,2,1,5,6,0,10,10,2,6,8,3,8,11,6,31,37,10,张爱林,12,本科,9.5,是,0.32432432432432434,是
四川大学,四川,1,6,7,2,3,5,2,4,6,4,6,10,3,6,9,12,25,37,9,朱瑞,7,本科,9.5,是,0.1891891891891892,否
中北大学,山西,3,7,10,1,6,7,1,5,6,2,4,6,0,8,8,7,30,37,8,李霞、谭秀辉,3,本科,7.0,是,0.08108108108108109,否
洛阳理工学院,河南,0,6,6,0,2,2,5,6,11,1,9,10,0,8,8,6,31,37,8,许超,7,本科,9.0,是,0.1891891891891892,否
南开大学,天津,2,6,8,2,5,7,1,7,8,4,4,8,3,3,6,12,25,37,6,倪元华、张巧真、李忠华、陈孝伟,3,本科,7.0,是,0.08108108108108109,否
华北电力大学(保定),河北,1,7,8,2,4,6,4,5,9,1,8,9,2,3,5,10,27,37,5,胡立峰、苑东伟、赵会超,1,本科,7.0,是,0.02702702702702703,否
东南大学,江苏,2,3,5,2,3,5,3,7,10,2,6,8,3,5,8,12,24,36,9,王峰、贾新刚、陈恩水,4,本科,8.0,是,0.1111111111111111,否
陕西师范大学,陕西,1,8,9,2,1,3,2,7,9,1,7,8,2,5,7,8,28,36,8,陈森,7,本科,7.5,是,0.19444444444444445,否
中国计量大学,浙江,2,5,7,1,7,8,3,6,9,2,2,4,2,6,8,10,26,36,7,92,0,本科,6.0,是,0.0,否
贵州大学,贵州,0,7,7,2,5,7,1,7,8,1,5,6,1,7,8,5,31,36,7,范馨月,3,本科,7.0,是,0.08333333333333333,否
北京师范大学,北京,2,5,7,1,7,8,2,2,4,3,5,8,3,5,8,11,24,35,7,92,0,本科,8.0,是,0.0,否
吉林大学,吉林,2,5,7,1,6,7,1,8,9,2,5,7,1,4,5,7,28,35,5,张锦、徐晓伟、韩月才,2,本科,6.0,是,0.05714285714285714,否
山西大学,山西,2,6,8,3,6,9,0,7,7,2,5,7,1,3,4,8,27,35,4,李春芳、林上为、牛兆宏,3,本科,5.5,是,0.08571428571428572,否
西南大学,重庆,0,5,5,1,4,5,1,5,6,0,8,8,1,9,10,3,31,34,10,刘少伟、吕颖、张里博,4,本科,9.0,是,0.11764705882352941,否
华南师范大学,广东,1,3,4,0,4,4,0,10,10,0,8,8,0,8,8,1,33,34,9,邓键,13,本科,8.0,是,0.38235294117647056,是
江西应用技术职业学院,江西,3,2,5,3,3,6,5,2,7,3,6,9,4,3,7,18,16,34,8,凌巍炜,32,专科,8.0,是,0.9411764705882353,是
华南农业大学,广东,0,6,6,1,7,8,1,6,7,0,6,6,2,5,7,4,30,34,7,张胜祥、江雪萍,5,本科,6.5,是,0.14705882352941177,否
浙江工业大学,浙江,3,4,7,3,2,5,3,4,7,5,3,8,2,5,7,16,18,34,7,周凯,9,本科,7.5,是,0.2647058823529412,否
哈尔滨工程大学,黑龙江,0,6,6,2,8,10,1,6,7,0,6,6,3,2,5,6,28,34,5,王淑娟,14,本科,5.5,是,0.4117647058823529,是
河南工程学院,河南,0,8,8,2,6,8,0,9,9,0,6,6,0,3,3,2,32,34,3,王万永,5,本科,4.5,是,0.14705882352941177,否
北京师范大学(珠海校区),广东,0,1,1,1,5,6,3,6,9,0,8,8,1,8,9,5,28,33,9,金俞,16,本科,8.5,是,0.48484848484848486,是
中国地质大学（武汉）,湖北,3,5,8,0,7,7,1,6,7,4,7,11,0,0,0,8,25,33,7,付丽华,7,本科,5.5,是,0.21212121212121213,否
北京邮电大学,北京,0,5,5,3,4,7,0,6,6,1,4,5,3,7,10,7,26,33,7,孙聪、贺祖国,2,本科,7.5,是,0.06060606060606061,否
广州大学,广东,0,7,7,0,5,5,2,6,8,2,7,9,1,3,4,5,28,33,7,钟育彬,11,本科,6.5,是,0.3333333333333333,是
河北工业大学,河北,0,7,7,0,5,5,1,3,4,3,7,10,1,6,7,5,28,33,7,张金珠,6,本科,8.5,是,0.18181818181818182,否
